Label,url_length,num_dots,num_hyphens,num_at,has_https,contains_login
phishing,48,4,0,0,0,0
phishing,230,11,3,0,0,1
phishing,91,4,3,0,0,1
phishing,60,5,1,0,0,1
phishing,67,5,1,0,0,1
phishing,93,5,1,0,0,1
phishing,65,6,1,0,0,1
phishing,237,6,1,0,0,1
phishing,88,6,1,0,0,1
phishing,89,6,1,0,0,1
phishing,203,7,1,0,0,1
phishing,115,11,0,0,0,1
phishing,115,11,0,0,0,1
phishing,78,7,2,0,0,1
phishing,85,6,1,0,0,1
phishing,65,4,0,0,0,0
phishing,61,3,0,0,0,0
phishing,58,3,0,0,0,0
phishing,183,7,1,0,0,1
phishing,70,4,1,0,0,0
phishing,84,6,1,0,0,1
phishing,78,7,2,0,0,0
phishing,22,3,0,0,0,0
phishing,33,3,0,0,0,0
phishing,38,2,0,0,0,0
phishing,65,8,2,0,0,0
phishing,50,3,0,0,0,0
phishing,40,2,0,0,0,0
phishing,73,3,1,0,0,1
phishing,85,3,0,0,0,0
phishing,70,3,0,0,0,0
phishing,42,3,1,0,0,0
phishing,86,2,0,0,0,0
phishing,83,1,0,0,0,0
phishing,182,2,1,0,0,1
phishing,62,3,1,0,0,0
phishing,45,2,1,0,0,0
phishing,47,2,0,0,0,0
phishing,20,2,1,0,0,0
phishing,25,1,1,0,0,0
phishing,79,3,1,0,0,1
phishing,82,3,0,0,0,0
phishing,66,1,0,0,0,0
phishing,45,3,1,0,0,0
phishing,46,3,0,0,0,0
phishing,29,2,0,0,0,0
phishing,31,1,0,0,0,0
phishing,184,12,0,0,0,0
phishing,32,2,0,0,0,0
phishing,57,2,0,0,0,0
phishing,149,9,2,0,0,1
phishing,65,2,0,0,0,1
phishing,111,2,1,0,0,0
phishing,46,4,0,0,0,0
phishing,40,3,0,0,0,0
phishing,13,1,0,0,0,0
phishing,85,3,0,0,0,0
phishing,28,2,0,0,0,0
phishing,40,1,0,0,0,0
phishing,146,10,0,0,0,0
phishing,124,12,0,0,0,1
phishing,37,1,0,0,0,0
phishing,34,1,1,0,0,0
phishing,49,2,0,0,0,1
phishing,63,2,2,0,0,0
phishing,52,2,1,0,0,0
phishing,56,5,0,0,0,0
phishing,47,3,1,0,0,0
phishing,38,4,2,0,0,0
phishing,21,2,0,0,0,0
phishing,230,8,4,0,0,0
phishing,80,4,3,0,0,0
phishing,141,2,5,0,0,1
phishing,36,3,0,0,0,1
phishing,50,2,0,0,0,0
phishing,19,1,0,0,0,0
phishing,55,3,0,0,0,0
phishing,34,2,0,0,0,0
phishing,42,4,0,0,0,1
phishing,33,2,0,0,0,0
phishing,44,2,1,0,0,0
phishing,50,2,0,0,0,0
phishing,98,3,2,0,0,1
phishing,80,4,2,0,0,1
phishing,61,2,0,0,0,0
phishing,28,2,0,0,0,0
phishing,33,4,0,0,1,0
phishing,66,4,2,0,0,0
phishing,115,11,0,0,0,1
phishing,86,2,2,0,0,1
phishing,43,2,0,0,0,0
